,period_start,amount,store_ct,yoy,yoy_change
0,2020-01-01,1104449.4093486872,738,,
1,2020-02-01,1126917.447651824,754,,
2,2020-03-01,703583.2448674168,706,,
3,2020-04-01,144698.39209704567,68,,
4,2020-05-01,742517.5725841038,505,,
5,2020-06-01,1389212.8929879726,734,,
6,2020-07-01,1353286.8233231446,730,,
7,2020-08-01,1349112.9344967334,736,,
8,2020-09-01,1412741.1317913022,728,,
9,2020-10-01,3113770.0965225394,752,,
10,2020-11-01,1274535.7593584529,734,,
11,2020-12-01,1179072.4829607797,736,,
12,2021-01-01,1038655.4936727107,726,1104449.4093486872,-0.05957168804569893
13,2021-02-01,1145923.7084007594,739,1126917.447651824,0.01686570812133493
14,2021-03-01,1568442.911116126,740,703583.2448674168,1.2292215207763841
15,2021-04-01,1487941.9846150575,748,144698.39209704567,9.28305818088933
16,2021-05-01,1816674.4274982486,751,742517.5725841038,1.446641661524417
17,2021-06-01,1811107.3072884963,756,1389212.8929879726,0.3036931318662735
18,2021-07-01,1463962.3924881609,759,1353286.8233231446,0.08178278784481198
19,2021-08-01,1428874.8869761948,761,1349112.9344967334,0.059121775827622215
20,2021-09-01,1603180.9515760276,760,1412741.1317913022,0.13480163881351345
21,2021-10-01,3473000.473690372,766,3113770.0965225394,0.11536830466996305
22,2021-11-01,1514332.9087675472,760,1274535.7593584529,0.18814470103985004
23,2021-12-01,1427474.9591520012,754,1179072.4829607797,0.21067617112686388
24,2022-01-01,1079011.523049615,733,1038655.4936727107,0.038854104775592604
25,2022-02-01,1389383.2961939343,747,1145923.7084007594,0.21245706499339723
26,2022-03-01,1423848.882008112,751,1568442.911116126,-0.09218953911756904
27,2022-04-01,1358805.3658987598,749,1487941.9846150575,-0.08678874583252408
28,2022-05-01,1824911.0152453755,751,1816674.4274982486,0.004533882143356564
29,2022-06-01,1489870.7669702421,752,1811107.3072884963,-0.17737024141280408
30,2022-07-01,1261252.7782708157,751,1463962.3924881609,-0.13846640819291706
31,2022-08-01,1380260.9256367884,757,1428874.8869761948,-0.03402254583834417
32,2022-09-01,1504782.817574535,760,1603180.9515760276,-0.06137681083645672
33,2022-10-01,3515876.6136579486,788,3473000.473690372,0.012345561220732253
34,2022-11-01,1071055.984362731,730,1514332.9087675472,-0.29272092142908057
35,2022-12-01,1340526.2449862552,750,1427474.9591520012,-0.06091085073562224
36,2023-01-01,1328007.1511100512,713,1079011.523049615,0.2307627145229169
37,2023-02-01,1358645.8429039156,742,1389383.2961939343,-0.02212309113994724
38,2023-03-01,1379964.2241063158,735,1423848.882008112,-0.03082114854766326
39,2023-04-01,1142054.2292137786,728,1358805.3658987598,-0.15951595579813937
40,2023-05-01,1601113.2862551094,720,1824911.0152453755,-0.12263487212288787
41,2023-06-01,1334659.4119396016,709,1489870.7669702421,-0.10417773035863627
42,2023-07-01,1160974.8452178661,694,1261252.7782708157,-0.07950661023750623
43,2023-08-01,1090019.7009030802,685,1380260.9256367884,-0.21027996905715807
44,2023-09-01,1181947.6293530401,687,1504782.817574535,-0.21453939030341446
45,2023-10-01,2617703.3438740596,732,3515876.6136579486,-0.2554621132877077
46,2023-11-01,961439.966955278,692,1071055.984362731,-0.10234387278333879
47,2023-12-01,1106951.2680023012,701,1340526.2449862552,-0.17424125626600387
